6 15  1/2  1  +1  0.10000
6 15  5/2  1  +1  0.10000
6 16  0  1  +1  0.10000
6 16  2  1  +1  0.10000
6 16  4  1  +1  0.10000    
6 16  3  1  +1  0.10000
6 17  5/2  1  +1  0.10001
6 17  3/2  1  +1  0.10001
6 17  1/2  1  +1  0.10001
6 17  9/2  1  +1  0.10001
6 17  7/2  1  +1  0.10001
6 17  5/2  2  +1  0.10001
6 17  3/2  2  +1  0.10001
6 18  0  1  +1  0.10001
6 18  2  1  +1  0.10001
6 18  4  1  +1  0.10001
6 18  2  2  +1  0.10001
6 18  0  2  +1  0.10001
6 20  0  1  +1  0.10071
6 21  1/2  1  +1  0.10179
6 22  0  1  +1  0.10063
