Z A   J    nJ P   En        Err
8 17  5/2  1  +1  0.000000  0.000001
8 17  1/2  1  +1  0.870730  0.000101
8 18  0    1  +1  0.000000  0.000001
8 18  2    1  +1  1.982070  0.000090
8 18  4    1  +1  3.554840  0.000400    
8 18  3    1  +1  5.377800  0.001200
8 19  5/2  1  +1  0.000000  0.000001
8 19  3/2  1  +1  0.096000  0.000500
8 19  1/2  1  +1  1.471700  0.000400
8 19  9/2  1  +1  2.371500  0.001000
8 19  7/2  1  +1  2.779000  0.000900
8 19  3/2  2  +1  3.067400  0.001600
8 19  5/2  2  +1  3.153500  0.001700
8 20  0    1  +1  0.000000  0.000001
8 20  2    1  +1  1.673680  0.000150
8 20  4    1  +1  3.570000  0.007000
8 20  2    2  +1  4.072000  0.004000
8 20  0    2  +1  4.456000  0.005000
8 21  5/2  1  +1  0.000000  0.000001
8 21  1/2  1  +1  1.218000  0.004000
8 22  0    1  +1  0.000000  0.000001
8 22  2    1  +1  3.199000  0.008000
8 23  1/2  1  +1  0.000000  0.000001
8 24  0    1  +1  0.000000  0.000001
8 25  0    1  +1  0.000000  0.000001
8 26  0    1  +1  0.1555076
